"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"13","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\File.cls","169","27","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"14","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\File.cls","224","27","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"15","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\HireCount.cls","125","31","ApexSOQLInjection","Avoid untrusted/unescaped variables in DML query","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexsoqlinjection","Security","pmd"
"16","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\JobMetrics.cls","135","42","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"17","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\Placement_Report.cls","72","16","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"18","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\SalesManagerRevenue.cls","40","16","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"19","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\SalesManagerRevenue.cls","71","55","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"20","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\Summary_Report.cls","38","16","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"21","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\Summary_Report.cls","65","46","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"22","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\Talent_Bench_Data.cls","4","16","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"23","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\Talent_Bench_Data.cls","10","53","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
